accuracy_after_ft,accuracy_before_ft,accuracy_drop,accuracy_recovery,achieved_sparsity_global,error,method,pruning_method,run_dir,seed,target_sparsity
0.01,0.01,0.7145,0.0,0.6799242424242424,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.7
0.01,0.01,0.7145,0.0,0.7755681818181818,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.8
0.01,0.01,0.7145,0.0,0.8752367424242424,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.9
0.5158,0.5158,0.2087,0.0,0.09990530303030302,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.1
0.0825,0.0825,0.642,0.0,0.2999526515151515,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.3
0.0106,0.0106,0.7139,0.0,0.5,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.5
0.01,0.01,0.7145,0.0,0.6998106060606061,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.7
0.01,0.01,0.7145,0.0,0.7994791666666666,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.8
0.01,0.01,0.7145,0.0,0.8868371212121212,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.9
0.5465,0.5465,0.17800000000000005,0.0,0.09990530303030302,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.1
0.0439,0.0439,0.6806,0.0,0.29640151515151514,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.3
0.01,0.01,0.7145,0.0,0.48200757575757575,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,0.5
