accuracy_auc,method,n_points,pruning_method,run_dir,seed
0.11015090570058604,bp_decov,6,cluster_aware,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223022_12797076,456
0.1719523089171974,bp_decov,6,cap_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223022_12797076,456
0.22829065817409766,bp_decov,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223022_12797076,456
0.0530177016985138,bp_decov,6,cluster_aware_stratified_twoaxis_adaptive_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223022_12797076,456
0.06022623762376238,bp_decov,6,random,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223546_12797077,789
0.0360620294599018,bp_decov,6,magnitude,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223546_12797077,789
0.06619844621513944,bp_decov,6,taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223546_12797077,789
0.0463567652697891,bp_decov,6,chip,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223546_12797077,789
0.06377672209026128,bp_decov,6,composite,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223546_12797077,789
0.061316277836691406,bp_decov,6,cluster_aware,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223546_12797077,789
0.11955568393094286,bp_decov,6,cap_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223546_12797077,789
0.24218565737051787,bp_decov,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223546_12797077,789
0.10521713147410357,bp_decov,6,cluster_aware_stratified_twoaxis_adaptive_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223546_12797077,789
0.029360083376758724,bp_decov,6,random,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_224356_12797078,1011
0.05254278518921862,bp_decov,6,magnitude,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_224356_12797078,1011
0.07455881104033969,bp_decov,6,taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_224356_12797078,1011
0.04381355792933444,bp_decov,6,chip,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_224356_12797078,1011
0.06414532871972316,bp_decov,6,composite,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_224356_12797078,1011
0.05560580404685836,bp_decov,6,cluster_aware,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_224356_12797078,1011
0.13023611995753714,bp_decov,6,cap_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_224356_12797078,1011
0.21187721602972395,bp_decov,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_224356_12797078,1011
0.14855502919320593,bp_decov,6,cluster_aware_stratified_twoaxis_adaptive_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_224356_12797078,1011
0.05538681948424069,bp_rtp,6,random,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_rtp_20260514_004954_12797086,42
0.040836766712141884,bp_rtp,6,magnitude,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_rtp_20260514_004954_12797086,42
0.07643085304278499,bp_rtp,6,taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_rtp_20260514_004954_12797086,42
0.03861585432639649,bp_rtp,6,chip,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_rtp_20260514_004954_12797086,42
