run_dir,layer_name,n_channels,n_patches,cos_mean,cos_std,abs_cos_mean,cos_p25,cos_p50,cos_p75,sigma_norm_mean,g_t_norm_mean
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer1.0.conv1,64,131072,0.017124241217970848,0.2644505500793457,0.21643349528312683,-0.17247283458709717,0.05458896979689598,0.21282601356506348,0.05361136794090271,0.05624036118388176
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer1.0.conv2,64,131072,0.04031837731599808,0.09775561094284058,0.07995100319385529,-0.024675367400050163,0.03495471179485321,0.0994509756565094,0.03678688779473305,0.038064826279878616
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer1.1.conv1,64,131072,0.013528060168027878,0.07390476763248444,0.056828178465366364,-0.027101783081889153,0.014564757235348225,0.059915363788604736,0.07210594415664673,0.0500313974916935
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer1.1.conv2,64,131072,-0.022150686010718346,0.08892994374036789,0.07673141360282898,-0.08038245886564255,-0.03296918421983719,0.05201934278011322,0.0054693082347512245,0.008838698267936707
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer2.0.conv1,128,131072,-0.03707941621541977,0.09058333933353424,0.0787249356508255,-0.10242313146591187,-0.03963074833154678,0.02091924287378788,0.09275221824645996,0.05057073384523392
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer2.0.conv2,128,131072,-0.00501171313226223,0.15175603330135345,0.12517303228378296,-0.11722584068775177,0.016430482268333435,0.09708200395107269,0.033158548176288605,0.039947260171175
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer2.0.downsample.0,128,131072,-0.019032299518585205,0.12361330538988113,0.10066168010234833,-0.0943329781293869,-0.02032940834760666,0.07292574644088745,0.01300118863582611,0.018312828615307808
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer2.1.conv1,128,131072,0.005822199396789074,0.07707419246435165,0.058892808854579926,-0.03651612251996994,0.00625969935208559,0.05012381076812744,0.08302177488803864,0.08995021879673004
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer2.1.conv2,128,131072,-0.027343789115548134,0.0764097347855568,0.06501436978578568,-0.08089099824428558,-0.026970457285642624,0.019867219030857086,0.008979815989732742,0.020022710785269737
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer3.0.conv1,256,131072,-0.03508477285504341,0.10293438285589218,0.0815868079662323,-0.09450234472751617,-0.02525697834789753,0.032959744334220886,0.10629510879516602,0.08705861121416092
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer3.0.conv2,256,131072,-0.013381500728428364,0.07928434014320374,0.06393969058990479,-0.0690435990691185,-0.013262458145618439,0.03845353424549103,0.037964869290590286,0.07214422523975372
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer3.0.downsample.0,256,131072,-0.013092613779008389,0.11175520718097687,0.09095945954322815,-0.08990561217069626,-0.0205991193652153,0.06544942408800125,0.014070452190935612,0.031625572592020035
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer3.1.conv1,256,131072,0.0076758782379329205,0.07361292093992233,0.05942190811038017,-0.04665181040763855,0.006224425043910742,0.05430574715137482,0.07119385153055191,0.1372915804386139
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer3.1.conv2,256,131072,0.0034921113401651382,0.05792076885700226,0.046333178877830505,-0.03953217342495918,0.002666827756911516,0.042157240211963654,0.004874115809798241,0.03252645209431648
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer4.0.conv1,512,32768,0.004554731771349907,0.07087849080562592,0.05699218437075615,-0.04344628006219864,0.0053906748071312904,0.05140523612499237,0.06568540632724762,0.1400366574525833
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer4.0.conv2,512,32768,-0.03342137485742569,0.07201479375362396,0.06604558229446411,-0.08957292884588242,-0.042801134288311005,0.014414234086871147,0.01139612402766943,0.08455582708120346
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer4.0.downsample.0,512,32768,-8.654448902234435e-05,0.07562664896249771,0.06145678833127022,-0.05502317100763321,-0.004228062927722931,0.0525759793817997,0.010827510617673397,0.0536985769867897
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer4.1.conv1,512,32768,-0.1277986764907837,0.04860170930624008,0.1279299557209015,-0.15969312191009521,-0.13013194501399994,-0.0980687290430069,0.028841326013207436,0.15336185693740845
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,layer4.1.conv2,512,32768,0.020318588241934776,0.0516558513045311,0.04555999115109444,-0.015918144956231117,0.020867623388767242,0.05728461593389511,0.002036404563114047,0.0825275406241417
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,conv1,64,131072,0.036269381642341614,0.49097806215286255,0.44509321451187134,-0.413510799407959,0.10519503057003021,0.5398664474487305,0.4930647313594818,0.07530505955219269
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer1.0.conv1,64,131072,-0.02386358007788658,0.1930277794599533,0.1475207656621933,-0.18754880130290985,0.001507379813119769,0.08274264633655548,0.05142425000667572,0.052616316825151443
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer1.0.conv2,64,131072,-0.00023936256184242666,0.07891593128442764,0.05514371767640114,-0.036207906901836395,0.009184684604406357,0.03351873531937599,0.03258835896849632,0.03039676696062088
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer1.1.conv1,64,131072,-0.02479112148284912,0.08675196766853333,0.07051645219326019,-0.09020768851041794,-0.011826502159237862,0.027930665761232376,0.07435362040996552,0.03406253084540367
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer1.1.conv2,64,131072,-0.007507311645895243,0.09875873476266861,0.0804792046546936,-0.08377400785684586,-0.004068930633366108,0.06699815392494202,0.004182757344096899,0.008974323980510235
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,layer2.0.conv1,128,131072,-0.0482734739780426,0.10090940445661545,0.08588771522045135,-0.09876348078250885,-0.04734152555465698,0.008650669828057289,0.0798109695315361,0.045991335064172745
